cycle,group,stage,groupName,stageName,population,Dgeneral,DProgExits,DProgEntries,D Treatment,SWIDU dynamics,Scr,CompositePartnerships,Infectiousness
0,4,10,IDU,Late Tx,0,0,-0,0,0,0,NaN,3.69,0.008000001
0,4,11,IDU,Adv Tx,1092.1921,0,-0,0,0,0,NaN,3.69,0.025000006
0,4,12,IDU,AIDS Tx,819.1441,0,-0,0,0,0,NaN,3.69,0.025000006
1,0,0,Gen Pop Men,Uninfected,1.6141508e+07,137385.25,-324275.78,0,0,-811.5456,0,1.0949999,0
1,0,1,Gen Pop Men,Acute,322151.7,-2121.5798,-53039.5,324275.78,0,-2.488146,0.0016315177,1.0949999,0.16
1,0,2,Gen Pop Men,Early,228057.4,-23867.775,-66299.375,53039.5,0,-12.44073,0.0040787943,1.0949999,0.08
1,0,3,Gen Pop Men,Med,227529.5,-29702.121,-21215.8,66299.375,0,-9.952584,0.003670915,1.0949999,0.09
1,0,4,Gen Pop Men,Late,161230.12,-40310.02,-21215.8,21215.8,-10607.9,-9.952584,0.0065260706,1.0949999,0.16
1,0,5,Gen Pop Men,Adv,100342.78,-40734.34,-42431.6,21215.8,-7425.5303,-7.962068,0.016315177,1.0949999,0.5
1,0,6,Gen Pop Men,AIDS,94088.59,-19677.652,-0,42431.6,-2917.1724,-3.4834044,0.0071378904,1.0949999,0.5
1,0,7,Gen Pop Men,Acute Tx,0,0,-0,0,0,0,0,1.0949999,0.008000001
1,0,8,Gen Pop Men,Early Tx,0,0,-0,0,0,0,0,1.0949999,0.0040000007
1,0,9,Gen Pop Men,Med Tx,0,0,-0,0,0,0,0,1.0949999,0.004500001
1,0,10,Gen Pop Men,Late Tx,10607.9,0,-0,0,10607.9,0,0,1.0949999,0.008000001
1,0,11,Gen Pop Men,Adv Tx,44339.03,-3394.528,-2121.58,0,7425.5303,-1.990517,0.00020393977,1.0949999,0.025000006
1,0,12,Gen Pop Men,AIDS Tx,33837.71,-3023.2515,-0,2121.58,2917.1724,-1.4928877,0.00015295485,1.0949999,0.025000006
1,1,0,Gen Pop Women,Uninfected,1.5419672e+07,176493.75,-103014.25,0,0,-5304.8315,0,1.0949999,0
1,1,1,Gen Pop Women,Acute,100215.984,-2779.0059,-69475.15,103014.25,0,-19.253046,0.0005513014,1.0949999,0.16
1,1,2,Gen Pop Women,Early,298646.88,-31263.818,-86843.94,69475.15,0,-96.26523,0.0013782535,1.0949999,0.08
1,1,3,Gen Pop Women,Med,297971.38,-38906.082,-27790.06,86843.94,0,-77.012184,0.0012404282,1.0949999,0.09
1,1,4,Gen Pop Women,Late,211127.44,-52801.113,-27790.06,27790.06,-13895.03,-77.012184,0.0022052056,1.0949999,0.16
1,1,5,Gen Pop Women,Adv,131385.38,-53356.918,-55580.12,27790.06,-9726.521,-61.60975,0.005513014,1.0949999,0.5
1,1,6,Gen Pop Women,AIDS,123221.96,-25775.277,-0,55580.12,-3821.1328,-26.954262,0.0024119436,1.0949999,0.5
1,1,7,Gen Pop Women,Acute Tx,0,0,-0,0,0,0,0,1.0949999,0.008000001
1,1,8,Gen Pop Women,Early Tx,0,0,-0,0,0,0,0,1.0949999,0.0040000007
1,1,9,Gen Pop Women,Med Tx,0,0,-0,0,0,0,0,1.0949999,0.004500001
1,1,10,Gen Pop Women,Late Tx,13895.03,0,-0,0,13895.03,0,0,1.0949999,0.008000001
1,1,11,Gen Pop Women,Adv Tx,58065.824,-4446.4097,-2779.006,0,9726.521,-15.402437,6.891269e-05,1.0949999,0.025000006
1,1,12,Gen Pop Women,AIDS Tx,44313.594,-3960.0835,-0,2779.006,3821.1328,-11.551827,5.1684514e-05,1.0949999,0.025000006
1,2,0,SW Women,Uninfected,22501.156,-1071.4238,-7751.5024,0,0,4538.4854,0,48.719997,0
1,2,1,SW Women,Acute,7686.966,-80.356804,-2008.9202,7751.5024,0,15.820246,0.023775356,48.719997,0.16
1,2,2,SW Women,Early,8717.458,-904.0141,-2511.1501,2008.9202,0,79.10123,0.05943839,48.719997,0.08
1,2,3,SW Women,Med,8681.549,-1124.9952,-803.56805,2511.1501,0,63.280983,0.053494554,48.719997,0.09
1,2,4,SW Women,Late,6170.3984,-1526.7793,-803.56805,803.56805,-401.78403,63.280983,0.09510142,48.719997,0.16
1,2,5,SW Women,Adv,3851.5017,-1542.8507,-1607.1361,803.56805,-281.2488,50.62479,0.23775356,48.719997,0.5
1,2,6,SW Women,AIDS,3585.9727,-745.3093,-0,1607.1361,-110.490616,22.148342,0.10401718,48.719997,0.5
1,2,7,SW Women,Acute Tx,0,0,-0,0,0,0,0,48.719997,0.008000001
1,2,8,SW Women,Early Tx,0,0,-0,0,0,0,0,48.719997,0.0040000007
1,2,9,SW Women,Med Tx,0,0,-0,0,0,0,0,48.719997,0.004500001
1,2,10,SW Women,Late Tx,401.78403,0,-0,0,401.78403,0,0,48.719997,0.008000001
1,2,11,SW Women,Adv Tx,1692.1134,-128.57089,-80.356804,0,281.2488,12.656198,0.0029719202,48.719997,0.025000006
1,2,12,SW Women,AIDS Tx,1291.1833,-114.50845,-0,80.356804,110.490616,9.492147,0.0022289401,48.719997,0.025000006
1,3,0,MSM,Uninfected,833711.25,6104.1016,-7982.3237,0,0,0,0,1.677,0
1,3,1,MSM,Acute,7914.5024,-67.821,-1695.525,7982.3237,0,0,0.0007848359,1.677,0.16
1,3,2,MSM,Early,7290.7573,-762.98627,-2119.4062,1695.525,0,0,0.00196209,1.677,0.08
1,3,3,MSM,Med,7273.8022,-949.494,-678.21,2119.4062,0,0,0.0017658809,1.677,0.09
1,3,4,MSM,Late,5154.396,-1288.599,-678.21,678.21,-339.105,0,0.0031393436,1.677,0.16
1,3,5,MSM,Adv,3207.933,-1302.1633,-1356.42,678.21,-237.37352,0,0.00784836,1.677,0.5
1,3,6,MSM,AIDS,3007.8613,-629.0398,-0,1356.42,-93.25388,0,0.0034336573,1.677,0.5
1,3,7,MSM,Acute Tx,0,0,-0,0,0,0,0,1.677,0.008000001
1,3,8,MSM,Early Tx,0,0,-0,0,0,0,0,1.677,0.0040000007
1,3,9,MSM,Med Tx,0,0,-0,0,0,0,0,1.677,0.004500001
1,3,10,MSM,Late Tx,339.105,0,-0,0,339.105,0,0,1.677,0.008000001
1,3,11,MSM,Adv Tx,1417.459,-108.5136,-67.82101,0,237.37352,0,9.8104516e-05,1.677,0.025000006
1,3,12,MSM,AIDS Tx,1081.745,-96.64493,-0,67.82101,93.25388,0,7.357838e-05,1.677,0.025000006
1,4,0,IDU,Uninfected,39873.754,3866.9968,-6528.3394,0,0,1577.8917,0,3.69,0
1,4,1,IDU,Acute,6452.3457,-81.91441,-1365.2401,6528.3394,0,5.920946,0.015283199,3.69,0.16
1,4,2,IDU,Early,5763.613,-750.882,-1706.55,1365.2401,0,29.604733,0.06460799,3.69,0.08
1,4,3,IDU,Med,5771.3447,-873.75366,-546.09607,1706.55,0,23.683784,0.052867197,3.69,0.09
1,4,4,IDU,Late,4064.7944,-1146.8018,-546.09607,546.09607,-273.04803,23.683784,0.061132796,3.69,0.16
1,4,5,IDU,Adv,2514.6062,-1135.8798,-1092.1921,546.09607,-191.13362,18.94703,0.081024006,3.69,0.5
1,4,6,IDU,AIDS,2391.9985,-544.73083,-0,1092.1921,-75.08821,8.289325,0.035448,3.69,0.5
1,4,7,IDU,Acute Tx,0,0,-0,0,0,0,0,3.69,0.008000001
1,4,8,IDU,Early Tx,0,0,-0,0,0,0,0,3.69,0.0040000007
1,4,9,IDU,Med Tx,0,0,-0,0,0,0,0,3.69,0.004500001
1,4,10,IDU,Late Tx,273.04803,0,-0,0,273.04803,0,0,3.69,0.008000001
1,4,11,IDU,Adv Tx,1124.2336,-109.219215,-54.609608,0,191.13362,4.7367573,0.0048144003,3.69,0.025000006
1,4,12,IDU,AIDS Tx,858.19293,-94.20158,-0,54.609608,75.08821,3.552568,0.0036108,3.69,0.025000006
2,0,0,Gen Pop Men,Uninfected,1.5991607e+07,143330.69,-292429.8,0,0,-802.2905,0,1.0949999,0
2,0,1,Gen Pop Men,Acute,279528.4,-12886.067,-322151.7,292429.8,0,-15.3333025,0.0045243544,1.0949999,0.16
2,0,2,Gen Pop Men,Early,472658.88,-20525.168,-57014.35,322151.7,0,-10.711237,0.0035317116,1.0949999,0.08
2,0,3,Gen Pop Men,Med,229926.08,-31854.13,-22752.951,57014.35,0,-10.683913,0.0039601424,1.0949999,0.09
2,0,4,Gen Pop Men,Late,129422.46,-30633.723,-16123.013,22752.951,-7796.3086,-7.573731,0.004996849,1.0949999,0.16
2,0,5,Gen Pop Men,Adv,63384.453,-24082.268,-25085.695,16123.013,-3908.6633,-4.7153864,0.009733529,1.0949999,0.5
2,0,6,Gen Pop Men,AIDS,90377.91,-24933.477,-0,25085.695,-3858.4868,-4.41739,0.009092346,1.0949999,0.5
2,0,7,Gen Pop Men,Acute Tx,0,0,-0,0,0,0,0,1.0949999,0.008000001
2,0,8,Gen Pop Men,Early Tx,0,0,-0,0,0,0,0,1.0949999,0.0040000007
2,0,9,Gen Pop Men,Med Tx,0,0,-0,0,0,0,0,1.0949999,0.004500001
2,0,10,Gen Pop Men,Late Tx,17130.764,-742.55304,-530.395,0,7796.3086,-0.49762926,1.6347232e-05,1.0949999,0.008000001
2,0,11,Gen Pop Men,Adv Tx,43011.934,-3547.1223,-2216.9517,530.395,3908.6633,-2.0820436,0.0002143886,1.0949999,0.025000006
2,0,12,Gen Pop Men,AIDS Tx,36696.977,-3214.5825,-0,2216.9517,3858.4868,-1.5889024,0.00016360116,1.0949999,0.025000006
2,1,0,Gen Pop Women,Uninfected,1.547843e+07,172204.12,-108106.54,0,0,-5339.4365,0,1.0949999,0
2,1,1,Gen Pop Women,Acute,104082.234,-4008.6394,-100215.984,108106.54,0,-15.66461,0.0033565273,1.0949999,0.16
2,1,2,Gen Pop Women,Early,297240.38,-26878.22,-74661.72,100215.984,0,-82.55986,0.0011881333,1.0949999,0.08
2,1,3,Gen Pop Women,Med,301037.56,-41715.992,-29797.139,74661.72,0,-82.41298,0.0013335571,1.0949999,0.09
2,1,4,Gen Pop Women,Late,169430.28,-40114.21,-21112.744,29797.139,-10208.996,-58.346664,0.0016799521,1.0949999,0.16
2,1,5,Gen Pop Women,Adv,82965.375,-31532.492,-32846.344,21112.744,-5117.6235,-36.280693,0.0032672794,1.0949999,0.5
2,1,6,Gen Pop Women,AIDS,118327.14,-32653.818,-0,32846.344,-5053.2583,-34.090996,0.003063646,1.0949999,0.5
2,1,7,Gen Pop Women,Acute Tx,0,0,-0,0,0,0,0,1.0949999,0.008000001
2,1,8,Gen Pop Women,Early Tx,0,0,-0,0,0,0,0,1.0949999,0.0040000007
2,1,9,Gen Pop Women,Med Tx,0,0,-0,0,0,0,0,1.0949999,0.004500001
2,1,10,Gen Pop Women,Late Tx,22432.773,-972.6521,-694.7515,0,10208.996,-3.8506093,5.5265277e-06,1.0949999,0.008000001
2,1,11,Gen Pop Women,Adv Tx,56313.582,-4645.2656,-2903.2913,694.7515,5117.6235,-16.059029,7.218678e-05,1.0949999,0.025000006
2,1,12,Gen Pop Women,AIDS Tx,48048.094,-4209.7915,-0,2903.2913,5053.2583,-12.256054,5.508996e-05,1.0949999,0.025000006
2,2,0,SW Women,Uninfected,19373.701,-900.0462,-6797.0576,0,0,4569.649,0,48.719997,0
2,2,1,SW Women,Acute,6500.427,-307.47864,-7686.966,6797.0576,0,10.847382,0.14462572,48.719997,0.16
2,2,2,SW Women,Early,13508.289,-784.5712,-2179.3645,7686.966,0,67.80043,0.051191676,48.719997,0.08
2,2,3,SW Women,Med,8845.029,-1215.4169,-868.1549,2179.3645,0,67.687546,0.057457328,48.719997,0.09
2,2,4,SW Women,Late,4998.5747,-1172.3757,-617.03986,868.1549,-298.47534,47.91224,0.07238213,48.719997,0.16
2,2,5,SW Women,Adv,2460.8203,-924.3605,-962.8754,617.03986,-150.27225,29.786861,0.14077362,48.719997,0.5
2,2,6,SW Women,AIDS,3479.548,-950.2827,-0,962.8754,-147.01904,28.00166,0.13199946,48.719997,0.5
2,2,7,SW Women,Acute Tx,0,0,-0,0,0,0,0,48.719997,0.008000001
2,2,8,SW Women,Early Tx,0,0,-0,0,0,0,0,48.719997,0.0040000007
2,2,9,SW Women,Med Tx,0,0,-0,0,0,0,0,48.719997,0.004500001
2,2,10,SW Women,Late Tx,655.20935,-28.124882,-20.089201,0,298.47534,3.1640494,0.00023811388,48.719997,0.008000001
2,2,11,SW Women,Adv Tx,1655.6896,-135.36906,-84.605675,20.089201,150.27225,13.189465,0.003110223,48.719997,0.025000006
2,2,12,SW Women,AIDS Tx,1410.2118,-122.662415,-0,84.605675,147.01904,10.06612,0.0023735932,48.719997,0.025000006
2,3,0,MSM,Uninfected,831979.1,6101.0977,-7833.2114,0,0,0,0,1.677,0
2,3,1,MSM,Acute,7516.632,-316.58008,-7914.5024,7833.2114,0,0,0.0036597352,1.677,0.16
2,3,2,MSM,Early,12726.402,-656.1682,-1822.6893,7914.5024,0,0,0.0016856549,1.677,0.08
2,3,3,MSM,Med,7350.779,-1018.33234,-727.38025,1822.6893,0,0,0.0018919518,1.677,0.09
2,3,4,MSM,Late,4137.7593,-979.3352,-515.43964,727.38025,-249.24219,0,0.0023834377,1.677,0.16
2,3,5,MSM,Adv,2026.5254,-769.904,-801.9833,515.43964,-124.960175,0,0.004635551,1.677,0.5
2,3,6,MSM,AIDS,2889.4119,-797.0832,-0,801.9833,-123.34944,0,0.004346442,1.677,0.5
2,3,7,MSM,Acute Tx,0,0,-0,0,0,0,0,1.677,0.008000001
2,3,8,MSM,Early Tx,0,0,-0,0,0,0,0,1.677,0.0040000007
2,3,9,MSM,Med Tx,0,0,-0,0,0,0,0,1.677,0.004500001
2,3,10,MSM,Late Tx,547.6546,-23.73735,-16.955252,0,249.24219,0,7.840257e-06,1.677,0.008000001
2,3,11,MSM,Adv Tx,1375.1047,-113.39671,-70.87295,16.955252,124.960175,0,0.00010241338,1.677,0.025000006
2,3,12,MSM,AIDS Tx,1173.2017,-102.76577,-0,70.87295,123.34944,0,7.8157565e-05,1.677,0.025000006
2,4,0,IDU,Uninfected,38884.56,3919.5024,-6480.777,0,0,1572.0779,0,3.69,0
2,4,1,IDU,Acute,6113.7866,-387.14075,-6452.3457,6480.777,0,20.150532,0.071367376,3.69,0.16
2,4,2,IDU,Early,10166.529,-633.9974,-1440.9032,6452.3457,0,25.470673,0.05389878,3.69,0.08
2,4,3,IDU,Med,5737.108,-923.41516,-577.13446,1440.9032,0,25.40934,0.05520408,3.69,0.09
2,4,4,IDU,Late,3203.4373,-853.6069,-406.47946,577.13446,-196.41353,18.00816,0.044959422,3.69,0.16
2,4,5,IDU,Adv,1552.2212,-653.7976,-628.65155,406.47946,-97.624466,11.209217,0.04607884,3.69,0.5
2,4,6,IDU,AIDS,2251.2922,-681.71954,-0,628.65155,-98.1451,10.506727,0.043832116,3.69,0.5
2,4,7,IDU,Acute Tx,0,0,-0,0,0,0,0,3.69,0.008000001
2,4,8,IDU,Early Tx,0,0,-0,0,0,0,0,3.69,0.0040000007
2,4,9,IDU,Med Tx,0,0,-0,0,0,0,0,3.69,0.004500001
2,4,10,IDU,Late Tx,432.419,-24.574324,-13.652402,0,196.41353,1.1841893,0.0010900432,3.69,0.008000001
2,4,11,IDU,Adv Tx,1071.827,-112.42336,-56.21168,13.652402,97.624466,4.9516077,0.004896397,3.69,0.025000006
2,4,12,IDU,AIDS Tx,917.63635,-98.69219,-0,56.21168,98.1451,3.7788363,0.0037377048,3.69,0.025000006
3,0,0,Gen Pop Men,Uninfected,1.5882845e+07,148668,-256635.36,0,0,-794.9142,0,1.0949999,0
3,0,1,Gen Pop Men,Acute,245441,-11181.136,-279528.4,256635.36,0,-13.242766,0.004033928,1.0949999,0.16
3,0,2,Gen Pop Men,Early,591460.9,-42539.3,-118164.72,279528.4,0,-22.412958,0.0046113245,1.0949999,0.08
3,0,3,Gen Pop Men,Med,292897.72,-32189.65,-22992.607,118164.72,0,-10.807851,0.0040228153,1.0949999,0.09
3,0,4,Gen Pop Men,Late,108833.61,-24590.268,-12942.246,22992.607,-6042.854,-6.0867105,0.0040341844,1.0949999,0.16
3,0,5,Gen Pop Men,Adv,43171.41,-15212.27,-15846.113,12942.246,-2093.9243,-2.982956,0.006191498,1.0949999,0.5
3,0,6,Gen Pop Men,AIDS,78668.16,-23950.145,-0,15846.113,-3601.4712,-4.24874,0.0087885875,1.0949999,0.5
3,0,7,Gen Pop Men,Acute Tx,0,0,-0,0,0,0,0,1.0949999,0.008000001
3,0,8,Gen Pop Men,Early Tx,0,0,-0,0,0,0,0,1.0949999,0.0040000007
3,0,9,Gen Pop Men,Med Tx,0,0,-0,0,0,0,0,1.0949999,0.004500001
3,0,10,Gen Pop Men,Late Tx,21117.121,-1199.1534,-856.5382,0,6042.854,-0.8046479,2.655964e-05,1.0949999,0.008000001
3,0,11,Gen Pop Men,Adv Tx,40368.824,-3440.9546,-2150.5967,856.5382,2093.9243,-2.0219774,0.00020911157,1.0949999,0.025000006
3,0,12,Gen Pop Men,AIDS Tx,38961.105,-3486.2126,-0,2150.5967,3601.4712,-1.7247324,0.00017824795,1.0949999,0.025000006
3,1,0,Gen Pop Women,Uninfected,1.5539862e+07,169195.06,-102394.836,0,0,-5367.85,0,1.0949999,0
3,1,1,Gen Pop Women,Acute,98211.555,-4163.289,-104082.234,102394.836,0,-19.994305,0.0029156343,1.0949999,0.16
3,1,2,Gen Pop Women,Early,300190.94,-26751.635,-74310.09,104082.234,0,-69.95842,0.002465037,1.0949999,0.08
3,1,3,Gen Pop Women,Med,303015.56,-42145.258,-30103.756,74310.09,0,-83.07846,0.0013490578,1.0949999,0.09
3,1,4,Gen Pop Women,Late,142441.84,-32191.754,-16943.03,30103.756,-7910.6953,-46.70806,0.0013499839,1.0949999,0.16
3,1,5,Gen Pop Women,Adv,56492.1,-19911.691,-20741.344,16943.03,-2740.4294,-22.839266,0.0020660968,1.0949999,0.5
3,1,6,Gen Pop Women,AIDS,102963.99,-31356.691,-0,20741.344,-4715.1543,-32.64809,0.0029459943,1.0949999,0.5
3,1,7,Gen Pop Women,Acute Tx,0,0,-0,0,0,0,0,1.0949999,0.008000001
3,1,8,Gen Pop Women,Early Tx,0,0,-0,0,0,0,0,1.0949999,0.0040000007
3,1,9,Gen Pop Women,Med Tx,0,0,-0,0,0,0,0,1.0949999,0.004500001
3,1,10,Gen Pop Women,Late Tx,27645.336,-1570.2942,-1121.6387,0,7910.6953,-6.2004747,8.9344485e-06,1.0949999,0.008000001
3,1,11,Gen Pop Women,Adv Tx,52839.348,-4505.0864,-2815.6792,1121.6387,2740.4294,-15.538376,7.010173e-05,1.0949999,0.025000006
3,1,12,Gen Pop Women,AIDS Tx,51001.094,-4564.569,-0,2815.6792,4715.1543,-13.263775,5.9809532e-05,1.0949999,0.025000006
3,2,0,SW Women,Uninfected,17674.549,-774.94806,-5519.2993,0,0,4595.095,0,48.719997,0
3,2,1,SW Women,Acute,5274.256,-260.01706,-6500.427,5519.2993,0,14.973606,0.12556252,48.719997,0.16
3,2,2,SW Women,Early,15471.299,-1215.7461,-3377.0723,6500.427,0,55.401398,0.106157795,48.719997,0.08
3,2,3,SW Women,Med,10167.493,-1238.3041,-884.5029,3377.0723,0,68.1987,0.058095817,48.719997,0.09
3,2,4,SW Women,Late,4238.275,-949.7292,-499.85748,884.5029,-233.54851,38.33265,0.058135815,48.719997,0.16
3,2,5,SW Women,Adv,1691.9646,-590.5969,-615.2051,499.85748,-81.64877,18.737564,0.088974774,48.719997,0.5
3,2,6,SW Women,AIDS,3060.7502,-922.0802,-0,615.2051,-138.7221,26.799273,0.12686634,48.719997,0.5
3,2,7,SW Women,Acute Tx,0,0,-0,0,0,0,0,48.719997,0.008000001
3,2,8,SW Women,Early Tx,0,0,-0,0,0,0,0,48.719997,0.0040000007
3,2,9,SW Women,Med Tx,0,0,-0,0,0,0,0,48.719997,0.004500001
3,2,10,SW Women,Late Tx,815.22455,-45.864655,-32.760468,0,233.54851,5.091809,0.00038475197,48.719997,0.008000001
3,2,11,SW Women,Adv Tx,1567.614,-132.45517,-82.78448,32.760468,81.64877,12.754851,0.0030188616,48.719997,0.025000006
3,2,12,SW Women,AIDS Tx,1508.6372,-133.97012,-0,82.78448,138.7221,10.888899,0.0025756361,48.719997,0.025000006
3,3,0,MSM,Uninfected,830829.56,6137.4453,-7287.0015,0,0,0,0,1.677,0
3,3,1,MSM,Acute,6986.3364,-300.66525,-7516.632,7287.0015,0,0,0.0034704786,1.677,0.16
3,3,2,MSM,Early,15916.058,-1145.3762,-3181.6006,7516.632,0,0,0.0029379318,1.677,0.08
3,3,3,MSM,Med,8768.192,-1029.109,-735.0779,3181.6006,0,0,0.0019090704,1.677,0.09
3,3,4,MSM,Late,3479.6904,-786.17426,-413.77594,735.0779,-193.19661,0,0.0019104308,1.677,0.16
3,3,5,MSM,Adv,1380.3552,-486.36612,-506.63135,413.77594,-66.948654,0,0.002923938,1.677,0.5
3,3,6,MSM,AIDS,2515.2085,-765.6941,-0,506.63135,-115.14056,0,0.004168939,1.677,0.5
3,3,7,MSM,Acute Tx,0,0,-0,0,0,0,0,1.677,0.008000001
3,3,8,MSM,Early Tx,0,0,-0,0,0,0,0,1.677,0.0040000007
3,3,9,MSM,Med Tx,0,0,-0,0,0,0,0,1.677,0.004500001
3,3,10,MSM,Late Tx,675.1327,-38.335823,-27.38273,0,193.19661,0,1.26427885e-05,1.677,0.008000001
3,3,11,MSM,Adv Tx,1290.6725,-110.00838,-68.75524,27.38273,66.948654,0,9.9202356e-05,1.677,0.025000006
3,3,12,MSM,AIDS Tx,1245.6433,-111.454155,-0,68.75524,115.14056,0,8.463673e-05,1.677,0.025000006
3,4,0,IDU,Uninfected,38064.17,3973.5842,-6361.6387,0,0,1567.6692,0,3.69,0
